Parsed 106 stocks-in-play entries from ps1
Trade files present for 106 of them

Preloading trade files...
Loaded 106 files in 77.0s (2122 MB working set)

Bar exponents: [-2;-5;-6;-6]
Bar pcts:      [0.00617;0.00847;0.00941;0.00941]
Position size: $30000

refVol         totalP&L     variance    avgPos$       risk      W      L trades    sec
------------------------------------------------------------------------------------------
None          394082.12 9501712.8089   30012.30  13.130687     81     25   1635    4.0
0.012000      135568.61 1704762.6712    5479.99  24.738838     79     25   1597    4.8
0.011940      135232.03 1701116.2811    5456.12  24.785364     79     25   1597    4.7
0.011881      134885.19 1697466.4315    5432.24  24.830486     78     26   1597    4.8
0.011822      134557.41 1693870.8446    5408.83  24.877350     78     26   1597    4.8
0.011763      134245.75 1690828.5039    5385.07  24.929267     79     25   1597    4.8
0.011704      133908.55 1687281.6901    5362.50  24.971290     79     25   1597    4.7
0.011646      133579.63 1683752.2982    5338.70  25.021001     79     25   1597    4.7
0.011588      133273.96 1680781.3395    5315.12  25.074513     79     25   1597    4.7
0.011531      132934.31 1677315.1996    5292.68  25.116640     79     25   1597    4.6
0.011473      132600.06 1673859.7092    5268.78  25.167150     79     25   1597    4.7
0.011416      132295.66 1670964.4831    5245.63  25.220190     80     24   1597    4.7
0.011359      131941.49 1667582.2320    5221.64  25.268226     79     25   1597    4.8
0.011303      131651.01 1664714.8859    5197.70  25.328707     80     24   1597    4.8
0.011247      131330.94 1661377.3127    5173.81  25.383780     80     24   1597    4.7
0.011191      130998.60 1658075.8737    5150.15  25.435887     80     24   1597    4.8
0.011135      130705.66 1655287.9135    5127.76  25.489797     80     24   1597    4.6
0.011080      130374.80 1652003.7571    5104.12  25.543048     80     24   1597    4.7
0.011024      130072.24 1649202.8083    5082.06  25.594407     80     24   1597    4.7
0.010970      129745.06 1645916.6561    5059.71  25.642811     79     25   1597    4.7
0.010915      129448.49 1643170.8936    5036.74  25.700848     79     25   1597    4.7
0.010861      129144.18 1639949.3661    5013.17  25.761005     79     25   1597    4.7
0.010807      128842.96 1637250.2915    4990.50  25.817657     79     25   1597    4.8
0.010753      128503.81 1634063.0058    4968.20  25.865264     79     25   1597    4.7
0.010699      128204.41 1631400.3659    4945.74  25.922206     79     25   1597    4.6
0.010646      127897.77 1628254.1907    4922.31  25.983303     79     25   1597    4.7
0.010593      127577.27 1625597.3351    4900.35  26.034304     79     25   1597    4.6
0.010541      127201.29 1622099.7877    4878.44  26.074187     79     25   1597    4.7
0.010488      126829.00 1618475.2989    4855.24  26.122075     79     25   1597    4.7
0.010436      126463.00 1614885.0536    4832.71  26.168156     79     25   1597    4.7
0.010384      126073.36 1610863.4686    4809.66  26.212554     79     25   1597    4.8
0.010332      125716.39 1607333.6477    4787.03  26.261866     79     25   1597    4.7
0.010281      125338.92 1603829.4381    4764.28  26.308053     80     24   1597    4.8
0.010230      124948.72 1599894.5118    4741.78  26.350585     79     25   1597    4.8
0.010179      124595.55 1596458.6223    4718.95  26.403224     79     25   1597    4.7
0.010128      124199.79 1594581.3139    4701.07  26.419493     79     25   1595    4.8
0.010078      123839.58 1591199.9880    4679.26  26.465642     79     25   1595    4.7
0.010028      123481.84 1587859.5119    4655.76  26.522367     80     24   1595    4.7
0.009978      123118.44 1584530.6100    4634.07  26.568116     79     25   1595    4.7
0.009928      122745.86 1580795.6237    4613.16  26.607751     79     25   1595    4.7
